years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2011-2013,15,NA,Thousand,Visits,Scotland
2016-2018,13,NA,Thousand,Visits,England
2011-2013,5,million (£),NA,Expenditure,All of GB
2012-2014,25,NA,Thousand,Nights,Scotland
2009-2011,2,million (£),NA,Expenditure,Scotland
2016-2018,11,NA,Thousand,Nights,Scotland
2015-2017,86,NA,Thousand,Nights,England
2016-2018,37,NA,Thousand,Nights,England
2017-2019,111,NA,Thousand,Nights,All of GB
2015-2017,26,NA,Thousand,Nights,Scotland
2010-2012,35,NA,Thousand,Nights,Scotland
2013-2015,2,million (£),NA,Expenditure,Scotland
2009-2011,39,NA,Thousand,Nights,Scotland
2017-2019,21,NA,Thousand,Visits,Scotland
2010-2012,21,NA,Thousand,Visits,Scotland
2015-2017,112,NA,Thousand,Nights,All of GB
2015-2017,13,NA,Thousand,Visits,Scotland
2016-2018,9,NA,Thousand,Visits,Scotland
2016-2018,1,million (£),NA,Expenditure,Scotland
2010-2012,8,million (£),NA,Expenditure,All of GB
2011-2013,24,NA,Thousand,Nights,Scotland
2010-2012,2,million (£),NA,Expenditure,Scotland
2011-2013,2,million (£),NA,Expenditure,Scotland
2014-2016,89,NA,Thousand,Nights,England
2009-2011,49,NA,Thousand,Visits,All of GB
2010-2012,50,NA,Thousand,Visits,All of GB
2011-2013,20,NA,Thousand,Visits,England
2012-2014,41,NA,Thousand,Visits,All of GB
2012-2014,1,million (£),NA,Expenditure,Scotland
2017-2019,2,million (£),NA,Expenditure,Scotland
2016-2018,1,million (£),NA,Expenditure,England
2015-2017,3,million (£),NA,Expenditure,England
2012-2014,96,NA,Thousand,Nights,All of GB
2012-2014,27,NA,Thousand,Visits,England
2016-2018,2,million (£),NA,Expenditure,All of GB
2012-2014,14,NA,Thousand,Visits,Scotland
2017-2019,3,million (£),NA,Expenditure,All of GB
2014-2016,39,NA,Thousand,Nights,Scotland
2017-2019,46,NA,Thousand,Nights,England
2012-2014,71,NA,Thousand,Nights,England
2017-2019,38,NA,Thousand,Visits,All of GB
2010-2012,4,million (£),NA,Expenditure,England
2014-2016,21,NA,Thousand,Visits,Scotland
2009-2011,21,NA,Thousand,Visits,England
2017-2019,65,NA,Thousand,Nights,Scotland
2015-2017,1,million (£),NA,Expenditure,Scotland
2015-2017,34,NA,Thousand,Visits,All of GB
2011-2013,80,NA,Thousand,Nights,All of GB
2014-2016,5,million (£),NA,Expenditure,All of GB
2017-2019,16,NA,Thousand,Visits,England
2014-2016,3,million (£),NA,Expenditure,England
2016-2018,22,NA,Thousand,Visits,All of GB
2011-2013,3,million (£),NA,Expenditure,England
2013-2015,42,NA,Thousand,Nights,Scotland
2014-2016,44,NA,Thousand,Visits,All of GB
2014-2016,23,NA,Thousand,Visits,England
2009-2011,99,NA,Thousand,Nights,All of GB
2013-2015,4,million (£),NA,Expenditure,England
2012-2014,3,million (£),NA,Expenditure,England
2010-2012,130,NA,Thousand,Nights,All of GB
2014-2016,2,million (£),NA,Expenditure,Scotland
2015-2017,4,million (£),NA,Expenditure,All of GB
2011-2013,55,NA,Thousand,Nights,England
2010-2012,75,NA,Thousand,Nights,England
2017-2019,1,million (£),NA,Expenditure,England
2013-2015,6,million (£),NA,Expenditure,All of GB
2010-2012,24,NA,Thousand,Visits,England
2011-2013,35,NA,Thousand,Visits,All of GB
2012-2014,5,million (£),NA,Expenditure,All of GB
2009-2011,3,million (£),NA,Expenditure,England
2013-2015,93,NA,Thousand,Nights,England
2013-2015,26,NA,Thousand,Visits,England
2009-2011,39,NA,Thousand,Nights,England
2014-2016,129,NA,Thousand,Nights,All of GB
2013-2015,47,NA,Thousand,Visits,All of GB
2013-2015,135,NA,Thousand,Nights,All of GB
2009-2011,403,NA,Thousand,Visits,England
2011-2013,406,NA,Thousand,Visits,England
2011-2013,2444,NA,Thousand,Nights,All of GB
2012-2014,76,million (£),NA,Expenditure,England
2009-2011,139,million (£),NA,Expenditure,All of GB
2016-2018,257,NA,Thousand,Visits,Scotland
2011-2013,729,NA,Thousand,Visits,All of GB
2015-2017,436,NA,Thousand,Visits,England
2017-2019,38,million (£),NA,Expenditure,Scotland
2013-2015,702,NA,Thousand,Visits,All of GB
2009-2011,756,NA,Thousand,Visits,All of GB
2015-2017,703,NA,Thousand,Nights,Scotland
2012-2014,872,NA,Thousand,Nights,Scotland
2017-2019,716,NA,Thousand,Nights,Scotland
2012-2014,673,NA,Thousand,Visits,All of GB
2013-2015,269,NA,Thousand,Visits,Scotland
2010-2012,1578,NA,Thousand,Nights,England
2010-2012,344,NA,Thousand,Visits,Scotland
2014-2016,135,million (£),NA,Expenditure,All of GB
2013-2015,765,NA,Thousand,Nights,Scotland
2017-2019,2288,NA,Thousand,Nights,All of GB
2009-2011,2863,NA,Thousand,Nights,All of GB
2011-2013,92,million (£),NA,Expenditure,England
2017-2019,418,NA,Thousand,Visits,England
2014-2016,92,million (£),NA,Expenditure,England
2015-2017,139,million (£),NA,Expenditure,All of GB
2010-2012,99,million (£),NA,Expenditure,England
2015-2017,691,NA,Thousand,Visits,All of GB
2013-2015,87,million (£),NA,Expenditure,England
2014-2016,274,NA,Thousand,Visits,Scotland
2010-2012,2828,NA,Thousand,Nights,All of GB
2015-2017,37,million (£),NA,Expenditure,Scotland
2014-2016,2800,NA,Thousand,Nights,All of GB
2014-2016,40,million (£),NA,Expenditure,Scotland
2014-2016,694,NA,Thousand,Visits,All of GB
2012-2014,115,million (£),NA,Expenditure,All of GB
2016-2018,682,NA,Thousand,Visits,All of GB
2016-2018,406,NA,Thousand,Visits,England
2014-2016,836,NA,Thousand,Nights,Scotland
2015-2017,99,million (£),NA,Expenditure,England
2009-2011,341,NA,Thousand,Visits,Scotland
2016-2018,86,million (£),NA,Expenditure,England
2012-2014,2316,NA,Thousand,Nights,All of GB
2015-2017,1791,NA,Thousand,Nights,England
2009-2011,96,million (£),NA,Expenditure,England
2017-2019,1502,NA,Thousand,Nights,England
2016-2018,1550,NA,Thousand,Nights,England
2015-2017,2584,NA,Thousand,Nights,All of GB
2014-2016,407,NA,Thousand,Visits,England
2013-2015,412,NA,Thousand,Visits,England
2016-2018,131,million (£),NA,Expenditure,All of GB
2016-2018,42,million (£),NA,Expenditure,Scotland
2013-2015,2528,NA,Thousand,Nights,All of GB
2009-2011,40,million (£),NA,Expenditure,Scotland
2012-2014,1393,NA,Thousand,Nights,England
2017-2019,699,NA,Thousand,Visits,All of GB
2011-2013,137,million (£),NA,Expenditure,All of GB
2017-2019,89,million (£),NA,Expenditure,England
2010-2012,1177,NA,Thousand,Nights,Scotland
2011-2013,303,NA,Thousand,Visits,Scotland
2013-2015,35,million (£),NA,Expenditure,Scotland
2012-2014,34,million (£),NA,Expenditure,Scotland
2016-2018,727,NA,Thousand,Nights,Scotland
2014-2016,1912,NA,Thousand,Nights,England
2010-2012,143,million (£),NA,Expenditure,All of GB
2016-2018,2378,NA,Thousand,Nights,All of GB
2013-2015,127,million (£),NA,Expenditure,All of GB
2010-2012,387,NA,Thousand,Visits,England
2010-2012,747,NA,Thousand,Visits,All of GB
2009-2011,1103,NA,Thousand,Nights,Scotland
2011-2013,896,NA,Thousand,Nights,Scotland
2011-2013,1458,NA,Thousand,Nights,England
2015-2017,245,NA,Thousand,Visits,Scotland
2012-2014,357,NA,Thousand,Visits,England
2017-2019,265,NA,Thousand,Visits,Scotland
2017-2019,131,million (£),NA,Expenditure,All of GB
2012-2014,294,NA,Thousand,Visits,Scotland
2010-2012,41,million (£),NA,Expenditure,Scotland
2009-2011,1692,NA,Thousand,Nights,England
2013-2015,1711,NA,Thousand,Nights,England
2011-2013,40,million (£),NA,Expenditure,Scotland
2014-2016,8,million (£),NA,Expenditure,All of GB
2013-2015,30,NA,Thousand,Visits,England
2016-2018,7,million (£),NA,Expenditure,England
2014-2016,27,NA,Thousand,Visits,England
2011-2013,6,million (£),NA,Expenditure,England
2017-2019,67,NA,Thousand,Visits,All of GB
2016-2018,15,million (£),NA,Expenditure,All of GB
2012-2014,30,NA,Thousand,Visits,England
2015-2017,12,million (£),NA,Expenditure,All of GB
2016-2018,159,NA,Thousand,Nights,England
2012-2014,5,million (£),NA,Expenditure,England
2013-2015,5,million (£),NA,Expenditure,England
2014-2016,4,million (£),NA,Expenditure,England
2010-2012,4,million (£),NA,Expenditure,England
2017-2019,45,NA,Thousand,Visits,England
2015-2017,4,million (£),NA,Expenditure,England
2012-2014,61,NA,Thousand,Visits,All of GB
2013-2015,32,NA,Thousand,Visits,Scotland
2017-2019,16,million (£),NA,Expenditure,All of GB
2015-2017,35,NA,Thousand,Visits,England
2017-2019,8,million (£),NA,Expenditure,Scotland
2010-2012,81,NA,Thousand,Nights,England
2010-2012,70,NA,Thousand,Visits,All of GB
2016-2018,214,NA,Thousand,Nights,All of GB
2012-2014,11,million (£),NA,Expenditure,All of GB
2013-2015,62,NA,Thousand,Visits,All of GB
2009-2011,37,NA,Thousand,Visits,England
2009-2011,85,NA,Thousand,Visits,All of GB
2011-2013,102,NA,Thousand,Nights,England
2016-2018,7,million (£),NA,Expenditure,Scotland
2015-2017,117,NA,Thousand,Nights,England
2015-2017,174,NA,Thousand,Nights,All of GB
2013-2015,61,NA,Thousand,Nights,Scotland
2009-2011,198,NA,Thousand,Nights,England
2012-2014,154,NA,Thousand,Nights,All of GB
2011-2013,52,NA,Thousand,Nights,Scotland
2015-2017,7,million (£),NA,Expenditure,Scotland
2009-2011,48,NA,Thousand,Visits,Scotland
2012-2014,58,NA,Thousand,Nights,Scotland
2009-2011,4,million (£),NA,Expenditure,Scotland
2013-2015,5,million (£),NA,Expenditure,Scotland
2011-2013,69,NA,Thousand,Visits,All of GB
2011-2013,9,million (£),NA,Expenditure,All of GB
2009-2011,173,NA,Thousand,Nights,Scotland
2010-2012,36,NA,Thousand,Visits,Scotland
2011-2013,3,million (£),NA,Expenditure,Scotland
2017-2019,167,NA,Thousand,Nights,England
2016-2018,40,NA,Thousand,Visits,England
2016-2018,38,NA,Thousand,Nights,Scotland
2017-2019,223,NA,Thousand,Nights,All of GB
2014-2016,84,NA,Thousand,Nights,England
2012-2014,6,million (£),NA,Expenditure,Scotland
2010-2012,4,million (£),NA,Expenditure,Scotland
2013-2015,105,NA,Thousand,Nights,England
2017-2019,8,million (£),NA,Expenditure,England
2015-2017,41,NA,Thousand,Nights,Scotland
2017-2019,49,NA,Thousand,Nights,Scotland
2015-2017,22,NA,Thousand,Visits,Scotland
2013-2015,166,NA,Thousand,Nights,All of GB
2014-2016,130,NA,Thousand,Nights,All of GB
2011-2013,155,NA,Thousand,Nights,All of GB
2012-2014,31,NA,Thousand,Visits,Scotland
2014-2016,4,million (£),NA,Expenditure,Scotland
2010-2012,33,NA,Thousand,Visits,England
2009-2011,5,million (£),NA,Expenditure,England
2017-2019,21,NA,Thousand,Visits,Scotland
2010-2012,100,NA,Thousand,Nights,Scotland
2011-2013,35,NA,Thousand,Visits,England
2016-2018,19,NA,Thousand,Visits,Scotland
2014-2016,49,NA,Thousand,Visits,All of GB
2015-2017,59,NA,Thousand,Visits,All of GB
2011-2013,33,NA,Thousand,Visits,Scotland
2014-2016,22,NA,Thousand,Visits,Scotland
2014-2016,46,NA,Thousand,Nights,Scotland
2013-2015,10,million (£),NA,Expenditure,All of GB
2009-2011,372,NA,Thousand,Nights,All of GB
2012-2014,95,NA,Thousand,Nights,England
2010-2012,182,NA,Thousand,Nights,All of GB
2016-2018,60,NA,Thousand,Visits,All of GB
2010-2012,8,million (£),NA,Expenditure,All of GB
2009-2011,9,million (£),NA,Expenditure,All of GB
2012-2014,80,NA,Thousand,Visits,England
2013-2015,168,NA,Thousand,Visits,All of GB
2011-2013,132,NA,Thousand,Visits,Scotland
2012-2014,33,million (£),NA,Expenditure,All of GB
2010-2012,212,NA,Thousand,Visits,All of GB
2011-2013,430,NA,Thousand,Nights,England
2016-2018,17,million (£),NA,Expenditure,England
2017-2019,153,NA,Thousand,Visits,All of GB
2010-2012,358,NA,Thousand,Nights,England
2014-2016,12,million (£),NA,Expenditure,Scotland
2015-2017,13,million (£),NA,Expenditure,Scotland
2012-2014,117,NA,Thousand,Visits,Scotland
2010-2012,471,NA,Thousand,Nights,Scotland
2016-2018,740,NA,Thousand,Nights,All of GB
2009-2011,100,NA,Thousand,Visits,Scotland
2011-2013,78,NA,Thousand,Visits,England
2014-2016,760,NA,Thousand,Nights,All of GB
2012-2014,390,NA,Thousand,Nights,Scotland
2013-2015,83,NA,Thousand,Visits,England
2014-2016,33,million (£),NA,Expenditure,All of GB
2011-2013,887,NA,Thousand,Nights,All of GB
2010-2012,66,NA,Thousand,Visits,England
2013-2015,321,NA,Thousand,Nights,Scotland
2017-2019,34,million (£),NA,Expenditure,All of GB
2014-2016,172,NA,Thousand,Visits,All of GB
2016-2018,161,NA,Thousand,Visits,All of GB
2013-2015,600,NA,Thousand,Nights,All of GB
2012-2014,296,NA,Thousand,Nights,England
2016-2018,289,NA,Thousand,Nights,Scotland
2009-2011,42,NA,Thousand,Visits,England
2012-2014,701,NA,Thousand,Nights,All of GB
2016-2018,451,NA,Thousand,Nights,England
2009-2011,20,million (£),NA,Expenditure,All of GB
2013-2015,265,NA,Thousand,Nights,England
2012-2014,200,NA,Thousand,Visits,All of GB
2015-2017,70,NA,Thousand,Visits,Scotland
2013-2015,32,million (£),NA,Expenditure,All of GB
2017-2019,328,NA,Thousand,Nights,Scotland
2017-2019,94,NA,Thousand,Visits,Scotland
2014-2016,250,NA,Thousand,Nights,Scotland
2009-2011,264,NA,Thousand,Nights,England
2010-2012,31,million (£),NA,Expenditure,All of GB
2016-2018,87,NA,Thousand,Visits,Scotland
2013-2015,17,million (£),NA,Expenditure,England
2015-2017,17,million (£),NA,Expenditure,England
2016-2018,16,million (£),NA,Expenditure,Scotland
2017-2019,18,million (£),NA,Expenditure,Scotland
2016-2018,74,NA,Thousand,Visits,England
2015-2017,485,NA,Thousand,Nights,England
2015-2017,283,NA,Thousand,Nights,Scotland
2011-2013,33,million (£),NA,Expenditure,All of GB
2011-2013,14,million (£),NA,Expenditure,Scotland
2016-2018,32,million (£),NA,Expenditure,All of GB
2009-2011,8,million (£),NA,Expenditure,England
2009-2011,614,NA,Thousand,Nights,All of GB
2014-2016,69,NA,Thousand,Visits,Scotland
2014-2016,510,NA,Thousand,Nights,England
2015-2017,31,million (£),NA,Expenditure,All of GB
2010-2012,834,NA,Thousand,Nights,All of GB
2011-2013,438,NA,Thousand,Nights,Scotland
2010-2012,141,NA,Thousand,Visits,Scotland
2011-2013,217,NA,Thousand,Visits,All of GB
2012-2014,16,million (£),NA,Expenditure,England
2013-2015,83,NA,Thousand,Visits,Scotland
2015-2017,154,NA,Thousand,Visits,All of GB
2013-2015,12,million (£),NA,Expenditure,Scotland
2014-2016,21,million (£),NA,Expenditure,England
2011-2013,16,million (£),NA,Expenditure,England
2017-2019,506,NA,Thousand,Nights,All of GB
2012-2014,14,million (£),NA,Expenditure,Scotland
2010-2012,14,million (£),NA,Expenditure,England
2009-2011,11,million (£),NA,Expenditure,Scotland
2009-2011,146,NA,Thousand,Visits,All of GB
2015-2017,84,NA,Thousand,Visits,England
2015-2017,767,NA,Thousand,Nights,All of GB
2009-2011,345,NA,Thousand,Nights,Scotland
2017-2019,58,NA,Thousand,Visits,England
2017-2019,178,NA,Thousand,Nights,England
2010-2012,16,million (£),NA,Expenditure,Scotland
2017-2019,16,million (£),NA,Expenditure,England
2014-2016,102,NA,Thousand,Visits,England
